season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2010,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2010,BUF,R.Fitzpatrick,00-0023682,13,3,16,1982-11-24,2005.0,LA
2010,CAR,J.Clausen,00-0027659,9,3,17,1987-09-21,2010.0,CAR
2010,CHI,J.Cutler,00-0024226,15,1,17,1983-04-29,2006.0,DEN
2010,CIN,C.Palmer,00-0021429,16,1,17,1979-12-27,2003.0,CIN
2010,CLE,C.McCoy,00-0027688,8,6,17,1986-09-05,2010.0,CLE
2010,DAL,J.Kitna,00-0009311,9,8,16,1972-09-21,,
2010,DEN,K.Orton,00-0023541,13,1,14,1982-11-14,2005.0,CHI
2010,DET,Sh.Hill,00-0020679,10,2,17,1980-01-09,,
2010,GB,A.Rodgers,00-0023459,15,1,17,1983-12-02,2005.0,GB
2010,HOU,M.Schaub,00-0022787,16,1,17,1981-06-25,2004.0,ATL
2010,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2010,JAX,D.Garrard,00-0021231,14,1,16,1978-02-14,2002.0,JAX
2010,KC,M.Cassel,00-0023662,15,1,17,1982-05-17,2005.0,NE
2010,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2010,LAR,S.Bradford,00-0027854,16,1,17,1987-11-08,2010.0,LA
2010,LV,J.Campbell,00-0023460,11,1,16,1981-12-31,2005.0,WAS
2010,MIA,C.Henne,00-0026197,14,1,17,1985-07-02,2008.0,MIA
2010,MIN,B.Favre,00-0005106,13,1,15,1969-10-10,1991.0,ATL
2010,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
