season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2020,KC,00-0033873,P.Mahomes,18,1,True
2020,LA,00-0033106,J.Goff,17,1,True
2020,LAC,00-0036355,J.Herbert,15,2,True
2020,LV,00-0031280,D.Carr,15,1,True
2020,MIA,00-0036212,T.Tagovailoa,9,8,True
2020,MIN,00-0029604,K.Cousins,16,1,True
2020,NE,00-0027939,C.Newton,15,1,True
2020,NO,00-0020531,D.Brees,14,1,True
2020,NYG,00-0035710,D.Jones,14,1,True
2020,NYJ,00-0034869,S.Darnold,12,1,True
2020,PHI,00-0032950,C.Wentz,12,1,True
2020,PIT,00-0022924,B.Roethlisberger,16,1,True
2020,SEA,00-0029263,R.Wilson,17,1,True
2020,SF,00-0033319,N.Mullens,9,3,True
2020,TB,00-0019596,T.Brady,20,1,True
2020,TEN,00-0029701,R.Tannehill,17,1,True
2020,WAS,00-0023436,A.Smith,8,5,True
2021,ARI,00-0035228,K.Murray,15,1,True
2021,ATL,00-0026143,M.Ryan,17,1,True
2021,BAL,00-0034796,L.Jackson,11,1,True
2021,BUF,00-0034857,J.Allen,18,1,True
2021,CAR,00-0034869,S.Darnold,12,1,True
2021,CHI,00-0036945,J.Fields,10,2,True
2021,CIN,00-0036442,J.Burrow,20,1,True
2021,CLE,00-0034855,B.Mayfield,14,1,True
2021,DAL,00-0033077,D.Prescott,17,1,True
2021,DEN,00-0031237,T.Bridgewater,13,1,True
2021,DET,00-0033106,J.Goff,14,1,True
2021,GB,00-0023459,A.Rodgers,9,1,True
2021,HOU,00-0036898,D.Mills,12,2,True
2021,IND,00-0032950,C.Wentz,17,1,True
2021,JAX,00-0036971,T.Lawrence,17,1,True
2021,KC,00-0033873,P.Mahomes,20,1,True
2021,LA,00-0026498,M.Stafford,21,1,True
2021,LAC,00-0036355,J.Herbert,17,1,True
2021,LV,00-0031280,D.Carr,18,1,True
2021,MIA,00-0036212,T.Tagovailoa,11,1,True
2021,MIN,00-0029604,K.Cousins,16,1,True
2021,NE,00-0036972,M.Jones,18,1,True
2021,NO,00-0031503,J.Winston,6,1,True
2021,NYG,00-0035710,D.Jones,10,1,True
2021,NYJ,00-0037013,Z.Wilson,12,1,True
2021,PHI,00-0036389,J.Hurts,16,1,True
2021,PIT,00-0022924,B.Roethlisberger,17,1,True
2021,SEA,00-0029263,R.Wilson,14,1,True
2021,SF,00-0031345,J.Garoppolo,17,1,True
2021,TB,00-0019596,T.Brady,19,1,True
2021,TEN,00-0029701,R.Tannehill,18,1,True
2021,WAS,00-0031800,T.Heinicke,16,1,True
2022,ARI,00-0035228,K.Murray,10,1,True
2022,ATL,00-0032268,M.Mariota,13,1,True
2022,BAL,00-0034796,L.Jackson,11,1,True
2022,BUF,00-0034857,J.Allen,18,1,True
2022,CAR,00-0034855,B.Mayfield,7,1,True
2022,CHI,00-0036945,J.Fields,15,1,True
