season,posteam,qb_id,qb_name,games,plays,actual_pass_rate,expected_pass_rate,proe
2022,NYJ,00-0037013,Z.Wilson,9,469,0.5937915047706679,0.6341688702166995,-4.037736544603164
2022,HOU,00-0036898,D.Mills,14,800,0.6214687118097674,0.6624565126278927,-4.098780081812539
2022,PIT,00-0038102,K.Pickett,12,721,0.5778674773806536,0.619900228144214,-4.203275076356035
2022,NYG,00-0035710,D.Jones,18,1076,0.5861258278651564,0.6339674299126163,-4.7841602047459935
2022,TEN,00-0029701,R.Tannehill,12,631,0.5791872938548909,0.6272870350541683,-4.809974119927741
2022,NYG,00-0033550,D.Webb,1,59,0.6779661016949152,0.7264574877286362,-4.849138603372089
2022,DAL,00-0033077,D.Prescott,14,901,0.5544696827410975,0.6079810687037323,-5.3511385962634614
2022,IND,00-0036879,S.Ehlinger,3,181,0.6006104328523861,0.6561141431247105,-5.550371027232423
2022,PIT,00-0033869,M.Trubisky,5,272,0.5543049683610759,0.6125326922686498,-5.822772390757395
2022,LA,00-0034855,B.Mayfield,5,264,0.5617671932413764,0.6289801254320755,-6.721293219069911
2022,CLE,00-0033537,D.Watson,6,355,0.5579094618352599,0.6306115024871529,-7.270204065189297
2022,LA,00-0034899,J.Wolford,2,120,0.6111111111111112,0.685776980617142,-7.4665869506030855
2022,CLE,00-0033119,J.Brissett,11,725,0.5629039303962261,0.6376168518154032,-7.471292141917716
2022,BAL,00-0037175,A.Brown,1,72,0.625,0.7030864138570097,-7.808641385700968
2022,DAL,00-0033662,C.Rush,5,288,0.514995765275257,0.5947854529812414,-7.97896877059843
2022,NO,00-0027973,A.Dalton,14,769,0.5377780588681896,0.6182022839420693,-8.04242250738797
2022,IND,00-0029567,N.Foles,2,75,0.6263736263736264,0.7148123810088242,-8.843875463519778
2022,SF,00-0037834,B.Purdy,8,426,0.4641140759785221,0.5571577741464113,-9.304369816788924
2022,CHI,00-0033958,N.Peterman,1,38,0.5789473684210527,0.6802799521308196,-10.1332583709767
2022,WAS,00-0031800,T.Heinicke,9,581,0.49323850178007,0.6042500020339312,-11.101150025386136
2022,NE,00-0026625,B.Hoyer,1,17,0.4117647058823529,0.52836113466936,-11.659642878700705
