season,posteam,qb_id,qb_name,plays,games,called_pass_rate,expected_pass_rate,proe
2023,MIA,00-0036212,T.Tagovailoa,1049,18,0.6101048617731173,0.6133120112668002,-0.32071494936829414
2023,MIN,00-0029604,K.Cousins,474,8,0.6772151898734177,0.6365158491677562,4.069934070566158
2023,NE,00-0036972,M.Jones,604,11,0.6142384105960265,0.64861971702402,-3.438130642799352
2023,NO,00-0031280,D.Carr,952,16,0.5913865546218487,0.6216976834429788,-3.031112882113006
2023,NYG,00-0038476,T.DeVito,341,7,0.6451612903225806,0.6647701874331645,-1.3743794471287658
2023,NYJ,00-0037013,Z.Wilson,618,11,0.6682847896440129,0.6728055960887555,-0.4520806444742533
2023,PHI,00-0036389,J.Hurts,1066,17,0.5891181988742964,0.6027958824685434,-1.2739597290307003
2023,PIT,00-0038102,K.Pickett,561,10,0.5793226381461676,0.6226378499585039,-4.153268061804049
2023,SEA,00-0030565,G.Smith,830,15,0.6457831325301204,0.6418755389884653,0.872687065008893
2023,SF,00-0037834,B.Purdy,1078,19,0.549165120593692,0.5676699308522999,-1.8504810258607918
2023,TB,00-0034855,B.Mayfield,1138,19,0.6300527240773286,0.634007510837161,-0.3954786759832308
2023,TEN,00-0029701,R.Tannehill,458,9,0.5764192139737991,0.6251655758875035,-4.8746361913704455
2023,WAS,00-0037077,S.Howell,1004,17,0.6952191235059761,0.6388237614897024,5.639536201627369
2024,ARI,00-0035228,K.Murray,1005,17,0.5980099502487563,0.6226921799189564,-2.368720479457829
2024,ATL,00-0029604,K.Cousins,837,14,0.5686977299880526,0.639034790132671,-7.033706014461842
2024,BAL,00-0034796,L.Jackson,1134,19,0.5141093474426808,0.5991432862487709,-8.238843616058745
2024,BUF,00-0034857,J.Allen,1093,19,0.5690759377859104,0.5876252118170888,-1.580453478140724
2024,CAR,00-0039150,B.Young,666,12,0.6471471471471472,0.6647011945331777,-1.7554047386030536
2024,CHI,00-0039918,C.Williams,1031,17,0.6517943743937924,0.6728237493886864,-2.1029374994894003
2024,CIN,00-0036442,J.Burrow,1053,17,0.6761633428300095,0.5947540937007493,8.330858436192882
2024,CLE,00-0031503,J.Winston,459,7,0.6753812636165577,0.6661385381858074,0.9242725430750379
2024,DAL,00-0033077,D.Prescott,462,8,0.6666666666666666,0.6765325052171817,-0.553683422151066
2024,DEN,00-0039732,B.Nix,1063,18,0.6208842897460018,0.6213657762469795,0.23407148160495964
2024,DET,00-0033106,J.Goff,1104,18,0.552536231884058,0.5927763317603671,-4.024009987630921
2024,GB,00-0036264,J.Love,852,15,0.5446009389671361,0.6057527080318178,-5.763064230411825
2024,HOU,00-0039163,C.Stroud,1082,18,0.634011090573013,0.6294381567199547,0.4572933853058189
2024,IND,00-0039164,A.Richardson,566,10,0.5123674911660777,0.6429691927625992,-12.883491714422462
2024,JAX,00-0036971,T.Lawrence,492,9,0.6117886178861789,0.6340414565662301,-2.225283868005121
2024,KC,00-0033873,P.Mahomes,1172,19,0.6390784982935154,0.582457825296746,6.003364228004584
2024,LA,00-0026498,M.Stafford,1060,18,0.5830188679245283,0.6182262611592997,-3.426399700835628
2024,LAC,00-0036355,J.Herbert,1024,18,0.5908203125,0.6048600601206999,-1.2086622620699927
2024,LV,00-0035289,G.Minshew,492,9,0.6544715447154471,0.6853543575853109,-2.681777221945728
2024,MIA,00-0036212,T.Tagovailoa,665,11,0.6270676691729323,0.6161344790649145,1.0933190108017814
2024,MIN,00-0034869,S.Darnold,1072,18,0.6156716417910447,0.5806958544113214,3.590862320061884
2024,NE,00-0039851,D.Maye,589,10,0.6519524617996605,0.6611571685776292,-0.9204706777968714
2024,NO,00-0031280,D.Carr,574,10,0.5034843205574913,0.5933775090278234,-8.989318847033205
2024,NYG,00-0035710,D.Jones,617,10,0.6110210696920584,0.6595875736102582,-4.856650391819991
2024,NYJ,00-0023459,A.Rodgers,958,17,0.6555323590814196,0.6340294605031579,2.463442258661251
2024,PHI,00-0036389,J.Hurts,1097,18,0.4886052871467639,0.5782590223155379,-8.783058111225625
2024,PIT,00-0029263,R.Wilson,716,12,0.5810055865921788,0.6213006383437643,-4.029505175158548
2024,SEA,00-0030565,G.Smith,978,17,0.6554192229038854,0.6372951320648681,2.016908061406851
2024,SF,00-0037834,B.Purdy,869,15,0.5949367088607594,0.6156594134541389,-1.9571956607188399
2024,TB,00-0034855,B.Mayfield,1100,18,0.6027272727272728,0.6049382741207426,-0.1301910484378988
2024,TEN,00-0039152,W.Levis,531,10,0.6440677966101694,0.6873273359797544,-4.325953936958492
2024,WAS,00-0039910,J.Daniels,1160,18,0.6017241379310345,0.5979943662303789,0.45918406661728334
