season,team,qb_name,first_playoff_game,game_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2012,DEN,P.Manning,2012_19_BAL_DEN,2013-01-12,P.Manning,IND,1998.0,DEN,False
2012,GB,A.Rodgers,2012_18_MIN_GB,2013-01-05,A.Rodgers,GB,2005.0,GB,True
2012,HOU,M.Schaub,2012_18_CIN_HOU,2013-01-05,M.Schaub,ATL,2004.0,HOU,False
2012,IND,A.Luck,2012_18_IND_BAL,2013-01-06,A.Luck,IND,2012.0,IND,True
2012,MIN,J.Webb,2012_18_MIN_GB,2013-01-05,J.Webb,MIN,2010.0,MIN,True
2012,NE,T.Brady,2012_19_HOU_NE,2013-01-13,T.Brady,NE,2000.0,NE,True
2012,SEA,R.Wilson,2012_18_SEA_WAS,2013-01-06,R.Wilson,SEA,2012.0,SEA,True
2012,SF,C.Kaepernick,2012_19_GB_SF,2013-01-12,C.Kaepernick,,,SF,False
2012,WAS,R.Griffin,2012_18_SEA_WAS,2013-01-06,R.Griffin,WAS,2012.0,WAS,True
2013,CAR,C.Newton,2013_19_SF_CAR,2014-01-12,C.Newton,CAR,2011.0,CAR,True
2013,CIN,A.Dalton,2013_18_SD_CIN,2014-01-05,A.Dalton,CIN,2011.0,CIN,True
2013,DEN,P.Manning,2013_19_SD_DEN,2014-01-12,P.Manning,IND,1998.0,DEN,False
2013,GB,A.Rodgers,2013_18_SF_GB,2014-01-05,A.Rodgers,GB,2005.0,GB,True
2013,IND,A.Luck,2013_18_KC_IND,2014-01-04,A.Luck,IND,2012.0,IND,True
2013,KC,A.Smith,2013_18_KC_IND,2014-01-04,A.Smith,SF,2005.0,KC,False
2013,LAC,P.Rivers,2013_18_SD_CIN,2014-01-05,P.Rivers,NYG,2004.0,LAC,False
2013,NE,T.Brady,2013_19_IND_NE,2014-01-11,T.Brady,NE,2000.0,NE,True
2013,NO,D.Brees,2013_18_NO_PHI,2014-01-04,D.Brees,LAC,2001.0,NO,False
2013,PHI,N.Foles,2013_18_NO_PHI,2014-01-04,N.Foles,PHI,2012.0,PHI,True
2013,SEA,R.Wilson,2013_19_NO_SEA,2014-01-11,R.Wilson,SEA,2012.0,SEA,True
2013,SF,C.Kaepernick,2013_18_SF_GB,2014-01-05,C.Kaepernick,,,SF,False
2014,ARI,R.Lindley,2014_18_ARI_CAR,2015-01-03,R.Lindley,,,ARI,False
2014,BAL,J.Flacco,2014_18_BAL_PIT,2015-01-03,J.Flacco,BAL,2008.0,BAL,True
2014,CAR,C.Newton,2014_18_ARI_CAR,2015-01-03,C.Newton,CAR,2011.0,CAR,True
2014,CIN,A.Dalton,2014_18_CIN_IND,2015-01-04,A.Dalton,CIN,2011.0,CIN,True
2014,DAL,T.Romo,2014_18_DET_DAL,2015-01-04,T.Romo,,,DAL,False
2014,DEN,P.Manning,2014_19_IND_DEN,2015-01-11,P.Manning,IND,1998.0,DEN,False
2014,DET,M.Stafford,2014_18_DET_DAL,2015-01-04,M.Stafford,DET,2009.0,DET,True
2014,GB,A.Rodgers,2014_19_DAL_GB,2015-01-11,A.Rodgers,GB,2005.0,GB,True
2014,IND,A.Luck,2014_18_CIN_IND,2015-01-04,A.Luck,IND,2012.0,IND,True
2014,NE,T.Brady,2014_19_BAL_NE,2015-01-10,T.Brady,NE,2000.0,NE,True
2014,PIT,B.Roethlisberger,2014_18_BAL_PIT,2015-01-03,B.Roethlisberger,PIT,2004.0,PIT,True
2014,SEA,R.Wilson,2014_19_CAR_SEA,2015-01-10,R.Wilson,SEA,2012.0,SEA,True
2015,ARI,C.Palmer,2015_19_GB_ARI,2016-01-16,C.Palmer,CIN,2003.0,ARI,False
2015,CAR,C.Newton,2015_19_SEA_CAR,2016-01-17,C.Newton,CAR,2011.0,CAR,True
2015,CIN,A.McCarron,2015_18_PIT_CIN,2016-01-09,A.McCarron,CIN,2014.0,CIN,True
2015,DEN,P.Manning,2015_19_PIT_DEN,2016-01-17,P.Manning,IND,1998.0,DEN,False
2015,GB,A.Rodgers,2015_18_GB_WAS,2016-01-10,A.Rodgers,GB,2005.0,GB,True
2015,HOU,B.Hoyer,2015_18_KC_HOU,2016-01-09,B.Hoyer,,,HOU,False
2015,KC,A.Smith,2015_18_KC_HOU,2016-01-09,A.Smith,SF,2005.0,KC,False
2015,MIN,T.Bridgewater,2015_18_SEA_MIN,2016-01-10,T.Bridgewater,MIN,2014.0,MIN,True
2015,NE,T.Brady,2015_19_KC_NE,2016-01-16,T.Brady,NE,2000.0,NE,True
2015,PIT,B.Roethlisberger,2015_18_PIT_CIN,2016-01-09,B.Roethlisberger,PIT,2004.0,PIT,True
2015,SEA,R.Wilson,2015_18_SEA_MIN,2016-01-10,R.Wilson,SEA,2012.0,SEA,True
2015,WAS,K.Cousins,2015_18_GB_WAS,2016-01-10,K.Cousins,WAS,2012.0,WAS,True
2016,ATL,M.Ryan,2016_19_SEA_ATL,2017-01-14,M.Ryan,ATL,2008.0,ATL,True
2016,DAL,D.Prescott,2016_19_GB_DAL,2017-01-15,D.Prescott,DAL,2016.0,DAL,True
2016,DET,M.Stafford,2016_18_DET_SEA,2017-01-07,M.Stafford,DET,2009.0,DET,True
2016,GB,A.Rodgers,2016_18_NYG_GB,2017-01-08,A.Rodgers,GB,2005.0,GB,True
2016,HOU,B.Osweiler,2016_18_OAK_HOU,2017-01-07,B.Osweiler,DEN,2012.0,HOU,False
2016,KC,A.Smith,2016_19_PIT_KC,2017-01-15,A.Smith,SF,2005.0,KC,False
2016,LV,C.Cook,2016_18_OAK_HOU,2017-01-07,C.Cook,LV,2016.0,LV,True
2016,MIA,M.Moore,2016_18_MIA_PIT,2017-01-08,M.Moore,,,MIA,False
2016,NE,T.Brady,2016_19_HOU_NE,2017-01-14,T.Brady,NE,2000.0,NE,True
2016,NYG,E.Manning,2016_18_NYG_GB,2017-01-08,E.Manning,LAC,2004.0,NYG,False
2016,PIT,B.Roethlisberger,2016_18_MIA_PIT,2017-01-08,B.Roethlisberger,PIT,2004.0,PIT,True
2016,SEA,R.Wilson,2016_18_DET_SEA,2017-01-07,R.Wilson,SEA,2012.0,SEA,True
2017,ATL,M.Ryan,2017_18_ATL_LA,2018-01-06,M.Ryan,ATL,2008.0,ATL,True
2017,BUF,T.Taylor,2017_18_BUF_JAX,2018-01-07,T.Taylor,BAL,2011.0,BUF,False
2017,CAR,C.Newton,2017_18_CAR_NO,2018-01-07,C.Newton,CAR,2011.0,CAR,True
2017,JAX,B.Bortles,2017_18_BUF_JAX,2018-01-07,B.Bortles,JAX,2014.0,JAX,True
2017,KC,A.Smith,2017_18_TEN_KC,2018-01-06,A.Smith,SF,2005.0,KC,False
2017,LA,J.Goff,2017_18_ATL_LA,2018-01-06,J.Goff,LAR,2016.0,LAR,True
2017,MIN,C.Keenum,2017_19_NO_MIN,2018-01-14,C.Keenum,,,MIN,False
2017,NE,T.Brady,2017_19_TEN_NE,2018-01-13,T.Brady,NE,2000.0,NE,True
2017,NO,D.Brees,2017_18_CAR_NO,2018-01-07,D.Brees,LAC,2001.0,NO,False
2017,PHI,N.Foles,2017_19_ATL_PHI,2018-01-13,N.Foles,PHI,2012.0,PHI,True
2017,PIT,B.Roethlisberger,2017_19_JAX_PIT,2018-01-14,B.Roethlisberger,PIT,2004.0,PIT,True
